Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-26 00:30:00,157.49,157.75,157.19,157.25,-2702.3238159555103,-2190.0590488896564,,
2024-01-26 01:00:00,157.27,157.64,156.73,157.39,-2684.7821176215134,-2176.04528871446,,
2024-01-26 01:30:00,157.55,158.13,157.55,158.13,-2667.2404192875165,-2162.0315285392644,,
2024-01-26 02:00:00,158.14,158.23,157.74,157.97,-2649.6987209535196,-2148.017768364068,,
2024-01-26 02:30:00,157.95,158.43,157.7,157.7,-2632.157022619523,-2134.0040081888724,,
2024-01-26 03:00:00,158.02,158.23,157.67,158.23,-2614.615324285526,-2119.990248013676,,
2024-01-26 03:30:00,157.88,157.89,157.48,157.88,-2597.0736259515293,-2105.9764878384804,,
2024-01-26 04:00:00,157.93,158.95,157.69,158.69,-2579.5319276175323,-2091.962727663284,Undefined,0
2024-01-26 04:30:00,158.69,159.09,158.48,158.48,-2561.9902292835354,-2077.9489674880883,Undefined,0
2024-01-26 05:00:00,158.68,159.04,158.68,158.93,-2544.4485309495385,-2063.935207312892,Undefined,0
2024-01-26 05:30:00,159.02,159.27,158.46,158.83,-2526.906832615542,-2049.9214471376963,Undefined,0
2024-01-26 06:00:00,158.78,159.25,158.78,159.23,-2509.365134281545,-2035.9076869625003,Undefined,0
2024-01-26 06:30:00,159.29,161.26,159.13,161.24,-2491.823435947548,-2021.8939267873043,Undefined,0
2024-01-26 07:00:00,161.27,162.33,161.12,161.63,-2474.2817376135513,-2007.8801666121083,High,162.331
2024-01-26 07:30:00,161.71,161.94,158.95,159.85,-2456.7400392795544,-1993.8664064369123,Undefined,0
2024-01-26 08:00:00,159.9,160.06,158.83,159.27,-2439.1983409455574,-1979.8526462617162,Undefined,0
2024-01-26 08:30:00,159.33,159.45,158.9,158.9,-2421.6566426115605,-1965.8388860865202,Undefined,0
2024-01-26 09:00:00,159.05,159.56,157.0,157.0,-2404.114944277564,-1951.8251259113242,Undefined,0
2024-01-26 09:30:00,157.12,157.12,156.04,156.08,-2386.573245943567,-1937.8113657361282,Low,156.039
2024-01-26 10:00:00,156.28,157.2,156.27,156.48,-2369.03154760957,-1923.797605560932,Undefined,0
2024-01-26 10:30:00,156.44,157.72,156.26,157.18,-2351.4898492755733,-1909.7838453857362,Undefined,0
2024-01-26 11:00:00,157.18,157.46,156.92,156.94,-2333.9481509415764,-1895.77008521054,Undefined,0
2024-01-26 11:30:00,156.94,157.71,156.8,157.71,-2316.4064526075795,-1881.7563250353442,Undefined,0
2024-01-26 12:00:00,157.75,158.84,157.56,158.17,-2298.8647542735825,-1867.742564860148,Undefined,0
